"city","sector","inventory","pollutant","emission"
"Barcelona","ms2","macc3","so2",2.197986274
"Bucarest","ms2","macc3","so2",3.023007792
"Budapest","ms2","macc3","so2",8.953464322
"Katowice","ms2","macc3","so2",1.742420707
"London","ms2","macc3","so2",1.679821301
"Madrid","ms2","macc3","so2",2.65957577
"Milan","ms2","macc3","so2",2.618514405
"Paris","ms2","macc3","so2",4.489139276
"Sofia","ms2","macc3","so2",6.205717079
"Utrecht","ms2","macc3","so2",4.568387906
"Warsaw","ms2","macc3","so2",1.983630747
"Barcelona","ms7","ctm4iam","so2",3.124793584
"Bucarest","ms7","ctm4iam","so2",2.851236851
"Budapest","ms7","ctm4iam","so2",12.79467341
"Katowice","ms7","ctm4iam","so2",3.189141254
"London","ms7","ctm4iam","so2",4.644549909
"Madrid","ms7","ctm4iam","so2",5.912235462
"Milan","ms7","ctm4iam","so2",3.799701791
"Paris","ms7","ctm4iam","so2",5.666120776
"Sofia","ms7","ctm4iam","so2",5.287003176
"Utrecht","ms7","ctm4iam","so2",7.239336761
"Warsaw","ms7","ctm4iam","so2",4.270764597
"Barcelona","ms7","edgar","so2",2.056262191
"Bucarest","ms7","edgar","so2",3.909117204
"Budapest","ms7","edgar","so2",8.71510314
"Katowice","ms7","edgar","so2",1.996268242
"London","ms7","edgar","so2",3.873130508
"Madrid","ms7","edgar","so2",3.141922821
"Milan","ms7","edgar","so2",1.973589451
"Paris","ms7","edgar","so2",2.455004084
"Sofia","ms7","edgar","so2",7.138853057
"Utrecht","ms7","edgar","so2",5.823401984
"Warsaw","ms7","edgar","so2",2.197125527
"Paris","ms7","emep","so2",6.606061757
"Barcelona","ms7","emep","so2",4.511098985
"Bucarest","ms7","emep","so2",8.552662332
"Budapest","ms7","emep","so2",13.79955302
"Katowice","ms7","emep","so2",3.561109536
"London","ms7","emep","so2",7.474915333
"Madrid","ms7","emep","so2",6.61982473
"Milan","ms7","emep","so2",3.937591508
"Sofia","ms7","emep","so2",11.60313952
"Utrecht","ms7","emep","so2",6.910923302
"Warsaw","ms7","emep","so2",3.681967313
"Barcelona","ms7","jrc","so2",5.663821661
"Bucarest","ms7","jrc","so2",4.280664795
"Budapest","ms7","jrc","so2",9.014341275
"Katowice","ms7","jrc","so2",2.871783657
"London","ms7","jrc","so2",10.11444946
"Madrid","ms7","jrc","so2",5.958224457
"Milan","ms7","jrc","so2",3.417394622
"Paris","ms7","jrc","so2",7.435222831
"Sofia","ms7","jrc","so2",7.486165212
"Utrecht","ms7","jrc","so2",6.114783311
"Warsaw","ms7","jrc","so2",2.264490096
"Barcelona","ms7","macc2","so2",4.524446517
"Bucarest","ms7","macc2","so2",8.573546049
"Budapest","ms7","macc2","so2",13.45547316
"Katowice","ms7","macc2","so2",3.557239931
"London","ms7","macc2","so2",7.531520868
"Madrid","ms7","macc2","so2",6.637875886
"Milan","ms7","macc2","so2",3.948428423
"Paris","ms7","macc2","so2",6.597087811
"Sofia","ms7","macc2","so2",11.52636388
"Utrecht","ms7","macc2","so2",6.890847109
